NOME,NUM,Latitude,Longitude,SEQ,GRUPO,SENTIDO,TIPO,ID_do_Itinerario,COD
"Estrada Guilherme Weigert, 141 - Santa Candida",120434,-25.370756050422,-49.228017361111,22,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Estrada Guilherme Weigert, 437 - Santa Candida",120435,-25.367630448761,-49.227039695925,21,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Rua Nossa Senhora do Rocio, 1 - Santa Candida",120437,-25.363414551454,-49.228852869219,19,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Estrada Guilherme Weigert, 2251 - Santa Candida",120444,-25.356528916625,-49.237618518265,12,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Rua Alberto Oto, 117 - Cachoeira",120452,-25.358882643406,-49.250537708069,5,,Terminal Sta. Cândida,Chapéu chinês,1821,236
Terminal Santa Cândida - 236 - São Benedito,105904,-25.377203402889,-49.224367899475,1,14470,São Benedito,Plataforma,586,236
"Estrada Guilherme Weigert, 438 - Santa Candida",120741,-25.367624389802,-49.226906926579,5,,São Benedito,Sem demarcação,586,236
"Rua Alberto Oto, 118 - Cachoeira",120587,-25.358814778133,-49.250427737499,22,,São Benedito,Sem demarcação,586,236
"Rua Teodoro Makiolka, 90 - Santa Candida",120430,-25.373909896247,-49.224555819056,2,,São Benedito,Domus,586,236
"Rua Mobral, 1 - Santa Candida",120745,-25.363808523814,-49.23279992977,9,,São Benedito,Sem demarcação,586,236
"Estrada Guilherme Weigert, 54 - Santa Candida",120443,-25.356805230223,-49.23500470558,13,,São Benedito,Placa em poste,586,236
"Rua Teodoro Makiolka, 3026 - Barreirinha",120604,-25.360249158054,-49.24804838358,20,,São Benedito,Domus,586,236
"Rua Alberto Oto, 532 - Cachoeira",120756,-25.356670943019,-49.250651701952,23,,São Benedito,Sem demarcação,586,236
"Rua Alberto Oto, 2 - Cachoeira",120755,-25.360227822208,-49.250681206251,21,,São Benedito,Sem demarcação,586,236
"Rua Alberto Otto, 1143 - Cachoeira",121008,-25.351979098225,-49.24660474062,26,,São Benedito,Chapéu chinês,586,236
"Rua Teodoro Makiolka, 3191 - Barreirinha",120451,-25.360585191161,-49.250480396038,6,,Terminal Sta. Cândida,Domus,1821,236
"Rua Mobral, 2 - Santa Candida",120439,-25.363889716406,-49.232643020542,17,,Terminal Sta. Cândida,Domus,1821,236
"Rua Teodoro Makiolka, 308 - Santa Candida",120432,-25.372809349252,-49.227301036862,3,,São Benedito,Domus,586,236
"Estrada Guilherme Weigert, 860 - Santa Candida",120742,-25.364819059017,-49.22764084602,6,,São Benedito,Chapéu chinês,586,236
"Rua Teodoro Makiolka, 2802 - Santa Candida",120754,-25.360712089917,-49.245247486817,18,,São Benedito,Chapéu chinês,586,236
"Estrada Guilherme Weigert, 1619 - Santa Candida",120441,-25.359752328589,-49.231697213788,15,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Rua Alberto Oto, 431 - Cachoeira",120454,-25.355621431585,-49.248740628029,3,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Rua Teodoro Makiolka, 2849 - Santa Candida",120672,-25.360612398469,-49.246187500839,19,,São Benedito,Chapéu chinês,586,236
"Rua Nossa Senhora do Rocio, 2 - Santa Candida",120743,-25.363280643712,-49.22881732995,7,,São Benedito,Placa em cano,586,236
"Estrada Guilherme Weigert, 1876 - Santa Candida",120748,-25.357842536744,-49.233369899185,12,,São Benedito,Sem demarcação,586,236
"Estrada Guilherme Weigert, 2252 - Santa Candida",120750,-25.356440447664,-49.237574261816,14,,São Benedito,Placa em poste,586,236
"Estrada Guilherme Weigert, 773 - Santa Candida",120436,-25.364895403654,-49.227729023642,20,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Rua Nossa Senhora do Rocio, 144 - Santa Candida",120438,-25.363866564728,-49.230138988441,18,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Rua José Ursulino Filho, 440 - Santa Candida",120746,-25.361226518733,-49.231889662285,10,,São Benedito,Chapéu chinês,586,236
"Rua Padre Paulo Caneles, 128 - Santa Candida",120751,-25.356738575685,-49.239471924694,15,,São Benedito,Chapéu chinês,586,236
"Rua Padre Paulo Caneles, 277 - Santa Candida",120752,-25.358615185996,-49.241900635924,16,,São Benedito,Chapéu chinês,586,236
"Rua Alberto Oto, 184 - Cachoeira",120757,-25.355691722474,-49.248700394893,24,,São Benedito,Sem demarcação,586,236
"Rua Teodoro Makiolka, 469 - Santa Candida",120433,-25.372827138295,-49.227507204395,23,,Terminal Sta. Cândida,Domus,1821,236
"Rua Padre Paulo Caneles, 642 - Santa Candida",120445,-25.356782204114,-49.239376706274,11,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Rua Nossa Senhora do Rocio, 143 - Santa Candida",120744,-25.363804761405,-49.230235547966,8,,São Benedito,Sem demarcação,586,236
"Rua Padre Paulo Caneles, 247 - Santa Candida",120753,-25.359318788125,-49.243717754631,17,,São Benedito,Chapéu chinês,586,236
"Rua Teodoro Makiolka, 89 - Santa Candida",120431,-25.373974396804,-49.22481254951,24,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Rua José Ursulino Filho, 439 - Santa Candida",120440,-25.361475340591,-49.232288640876,16,,Terminal Sta. Cândida,Domus,1821,236
"Rua Padre Paulo Caneles, 16 - Santa Candida",120448,-25.360782838794,-49.245167884111,8,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Rua Padre Paulo Caneles, 248 - Santa Candida",120447,-25.359376245634,-49.243630660738,9,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Rua Padre Paulo Canelles, 488 - Santa Cândida",120446,-25.3586818395,-49.241821510758,10,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Rua Alberto Oto, 422 - Cachoeira",120453,-25.3566006527,-49.250729486013,4,,Terminal Sta. Cândida,Chapéu chinês,1821,236
"Rua Padre João Wislinski, 621 - Santa Candida",130557,-25.374863328913,-49.221240845404,2,,Terminal Santa Cândida (Circular),Chapéu chinês,13214,237
"Rua Odete Laura Fogiato, 650 - Atuba",130062,-25.3826,-49.21063,10,,Terminal Santa Cândida (Circular),Domus,13214,237
Rua Arnoldo Wolff Gaensly,121024,-25.377001393787,-49.209185686832,13,,Terminal Santa Cândida (Circular),Chapéu chinês,13214,237
"Rua Comendador Zake Sabag,  414 - Atuba",130059,-25.37894,-49.21677,7,,Terminal Santa Cândida (Circular),Domus,13214,237
"Rua Odete Laura Fogiato, 121 - Atuba",130060,-25.37988,-49.21469,8,,Terminal Santa Cândida (Circular),Chapéu chinês,13214,237
"Rua Máximo João Kop, 204 - Santa Candida",130558,-25.374855155458,-49.216899604744,3,,Terminal Santa Cândida (Circular),Domus,13214,237
"Rua Padre João Wislinski, 1048  - Santa Candida",120155,-25.37453,-49.22203,17,,Terminal Santa Cândida (Circular),Chapéu chinês,13214,237
Rua Arnoldo Wolff Gaensly,121025,-25.375546350356,-49.211781912953,14,,Terminal Santa Cândida (Circular),Chapéu chinês,13214,237
Rua Pintor Ricardo Krieger,121023,-25.378776157531,-49.208064414853,12,,Terminal Santa Cândida (Circular),Chapéu chinês,13214,237
"Rua Odete Laura Fogiato, 397 - Atuba",130061,-25.38156,-49.21284,9,,Terminal Santa Cândida (Circular),Domus,13214,237
"Terminal Santa Cândida - 231 - Banestado / Califórnia, 237 - Parque Atuba",105906,-25.376896337567,-49.224497201224,1,14470,Terminal Santa Cândida (Circular),Plataforma,13214,237
"Rua Máximo João Kop, 507 - Santa Candida",130560,-25.373729462919,-49.214484275526,4,,Terminal Santa Cândida (Circular),Chapéu chinês,13214,237
Rua Engenheiro Jayme Matzenbacher,121022,-25.382132780412,-49.208241570992,11,,Terminal Santa Cândida (Circular),Chapéu chinês,13214,237
Estr. Das Olarías,121020,-25.377368924695,-49.212623494831,5,,Terminal Santa Cândida (Circular),Chapéu chinês,13214,237
"Rua Máximo João Kop, 203 - Santa Candida",120471,-25.374647869597,-49.216644635582,16,,Terminal Santa Cândida (Circular),Chapéu chinês,13214,237
Estr. Das Olarías,121021,-25.377672479252,-49.214376484528,6,,Terminal Santa Cândida (Circular),Chapéu chinês,13214,237
Rua Arnoldo Wolff Gaensly,121026,-25.373771842959,-49.214159937217,15,,Terminal Santa Cândida (Circular),Chapéu chinês,13214,237
"Avenida Anita Garibaldi, 6049 - Barreirinha",120045,-25.361753626635,-49.263096588955,15,,Terminal Barreirinha,Novo mobiliário,588,242
"Av. Anita Garibaldi, 5470 - Barreirinha",120787,-25.366113104384,-49.260314271751,17,,Terminal Barreirinha,Novo mobiliário,588,242
"Rua David Bodziak, 210 - Cachoeira",120118,-25.35400330129,-49.26055523867,11,,Terminal Barreirinha,Chapéu chinês,588,242
"Rua Howell Lewis Fry, 332 - Cachoeira, Curitiba",121011,-25.350182497584,-49.250907581592,4,,Terminal Barreirinha,Chapéu chinês,588,242
"Avenida Anita Garibaldi, 4812 - Barreirinha",120029,-25.371146376771,-49.261400728836,4,,V. Leonice,Novo mobiliário,589,242
"Avenida Anita Garibaldi, 5306 - Barreirinha",120037,-25.367533635378,-49.25983157424,18,,Terminal Barreirinha,Novo mobiliário,588,242
"Avenida Anita Garibaldi, 5593 - Barreirinha",120038,-25.365268187323,-49.260806093254,7,,V. Leonice,Novo mobiliário,589,242
"Rua David Bodziak, 210 - Cachoeira",120117,-25.354120858293,-49.260560603088,13,,V. Leonice,Placa em cano,589,242
"Avenida Anita Garibaldi,  5800 - Barreirinha",120039,-25.363940896821,-49.262326472387,16,,Terminal Barreirinha,Novo mobiliário,588,242
"Av. Anita Garibaldi, 694 - Cachoeira",120154,-25.35417,-49.26317,12,,Terminal Barreirinha,Novo mobiliário,588,242
"Rua Nair Schultz Helvig, 124 - Cachoeira",120125,-25.351824234308,-49.253687442488,8,,Terminal Barreirinha,Chapéu chinês,588,242
"Rua David Bodziak, 536 - Cachoeira",120119,-25.353548827268,-49.257757694668,10,,Terminal Barreirinha,Chapéu chinês,588,242
"R. David Bodziak, 1263",121016,-25.351639489125,-49.251407651199,2,,Terminal Barreirinha,Chapéu chinês,588,242
"Avenida Anita Garibaldi, 5062 - Barreirinha",120034,-25.3697,-49.26006,5,,V. Leonice,Novo mobiliário,589,242
"Rua David Bodziak, 536 - Cachoeira",120567,-25.353642146074,-49.257714779324,14,,V. Leonice,Placa em cano,589,242
"Rua Engenheiro Francisco Xavier Driesel, 250 - Cachoeira",120123,-25.349967777215,-49.253763555156,6,,Terminal Barreirinha,Chapéu chinês,588,242
Terminal Barreirinha - 242 - Vila Leonice,104109,-25.377564849969,-49.262483939881,23,14517,Terminal Barreirinha,Plataforma,588,242
"Rua Nair Schultz Helvig, 289 - Cachoeira",120124,-25.350095980849,-49.25478312487,7,,Terminal Barreirinha,Chapéu chinês,588,242
"Av. Anita Garibaldi, 1000 - Cachoeira",120116,-25.356323947612,-49.263579387732,13,,Terminal Barreirinha,Novo mobiliário,588,242
"Rua David Bodziak, 1030 - Cachoeira",120568,-25.352133887117,-49.252976657099,1,,Terminal Barreirinha,Chapéu chinês,588,242
"Rua David Bodziak, 914 - Cachoeira",120121,-25.352597456119,-49.255107672161,9,,Terminal Barreirinha,Domus,588,242
"Av. Anita Garibaldi, 4644 - Barreirinha",120028,-25.372308494636,-49.262506209822,3,,V. Leonice,Novo mobiliário,589,242
"Avenida Anita Garibaldi, 5306 - Barreirinha",120036,-25.367411823091,-49.259725597553,6,,V. Leonice,Novo mobiliário,589,242
"Av. Anita Garibaldi, 1000 - Cachoeira",120055,-25.356483516146,-49.263492186508,11,,V. Leonice,Placa em cano,589,242
"Avenida Anita Garibaldi, 4812 - Barreirinha",120031,-25.371198482293,-49.261667550926,20,,Terminal Barreirinha,Novo mobiliário,588,242
